Código Item|Descrição Item|Código Subitem|Descrição Subitem|Alíquota|Percentual de Dedução da Base de Cálculo Permitido|Permite Tributação Fora de Arapiraca
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1516|Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo; serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1517|Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1518|Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica, emissão, reemissão, alteração, transferência e renegociação de contrato, emissão e reemissão do termo de quitação e demais serviços relacionados a crédito imobiliário.|0,05|0,00%|Não
16|Serviços de transporte de natureza municipal.|1601|Serviços de transporte coletivo municipal rodoviário, metroviário, ferroviário e aquaviário de passageiros.|0,05|0,00%|Sim
16|Serviços de transporte de natureza municipal.|1602|Outros serviços de transporte de natureza municipal.|0,05|0,00%|Sim
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1701|Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1702|Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição, interpretação, revisão, tradução, apoio e infra-estrutura administrativa e congêneres.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e|1703|Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1704|Recrutamento, agenciamento, seleção e colocação de mão-de-obra.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1705|Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço.|0,05|0,00%|Sim
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1706|Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1707|(VETADO)|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1708|Franquia (franchising).|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1709|Perícias, laudos, exames técnicos e análises técnicas.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1710|Planejamento, organização e administração de feiras, exposições, congressos e congêneres.|0,05|0,00%|Sim
17|Serviços de apoio técnico, administrativo,|1711|Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS).|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1712|Administração em geral, inclusive de bens e negócios de terceiros.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1713|Leilão e congêneres.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1714|Advocacia.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1715|Arbitragem de qualquer espécie, inclusive jurídica.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1716|Auditoria.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1717|Análise de Organização e Métodos.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1718|Atuária e cálculos técnicos de qualquer natureza.|0,05|0,00%|Não
17|Serviços de apoio|1719|Contabilidade, inclusive serviços técnicos e|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1720|Consultoria e assessoria econômica ou financeira.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1721|Estatística.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1722|Cobrança em geral.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1723|Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionados a operações de faturização (factoring).|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1724|Apresentação de palestras, conferências, seminários e congêneres.|0,05|0,00%|Não
17|Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.|1725|Inserção de textos, desenhos e outros materiais de propaganda e publicidade, em qualquer meio (exceto em livros, jornais, periódicos e nas modalidades de serviços de radiodifusão sonora e de sons e imagens de recepção livre e gratuita).|0,05|0,00%|Não
18|Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de|1801|Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres.|0,05|0,00%|Não
19|Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.|1901|Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.|0,05|0,00%|Não
20|Serviços portuários, aeroportuários, ferroportuários, de terminais rodoviários, ferroviários e metroviários.|2001|Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, serviços de praticagem, capatazia, armazenagem de qualquer natureza, serviços acessórios, movimentação de mercadorias, serviços de apoio marítimo, de movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres.|0,05|0,00%|Sim
20|Serviços portuários, aeroportuários, ferroportuários, de terminais rodoviários, ferroviários e metroviários.|2002|Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de qualquer natureza, capatazia, movimentação de aeronaves, serviços de apoio aeroportuários, serviços acessórios, movimentação de mercadorias, logística e congêneres.|0,05|0,00%|Sim
20|Serviços portuários, aeroportuários, ferroportuários, de terminais rodoviários, ferroviários e metroviários.|2003|Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias, inclusive     suas operações, logística e congêneres.|0,02|0,00%|Sim
21|Serviços de registros públicos, cartorários e notariais.|2101|Serviços de registros públicos, cartorários e notariais.|0,05|0,00%|Não
22|Serviços de exploração de rodovia.|2201|Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e outros serviços definidos em contratos, atos de concessão ou de permissão ou em      normas oficiais.|0,05|0,00%|Sim
23|Serviços de programação e comunicação visual, desenho industrial e congêneres.|2301|Serviços de programação e comunicação visual, desenho industrial e congêneres.|0,05|0,00%|Não
24|Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.|2401|Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.|0,05|0,00%|Não
25|Serviços funerários.|2501|Funerais, inclusive fornecimento de caixão, urna ou esquifes; aluguel de capela; transporte do corpo cadavérico; fornecimento de flores, coroas e outros paramentos; desembaraço de certidão de óbito; fornecimento de véu, essa e outros adornos; embalsamento, embelezamento, conservação ou restauração de cadáveres.|0,05|0,00%|Não
25|Serviços funerários.|2502|Translado intramunicipal e cremação de corpos e partes de corpos cadavéricos.  (Redação dada pela Lei Complementar nº 157, de 2016)|0,05|0,00%|Não
25|Serviços funerários.|2503|Planos ou convênio funerários.|0,05|0,00%|Não
25|Serviços funerários.|2504|Manutenção e conservação de jazigos e cemitérios.|0,05|0,00%|Não
25|Serviços funerários.|2505|Cessão de uso de espaços em cemitérios para sepultamento.|0,05|0,00%|Não
26|Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências|2601|Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres.|0,05|0,00%|Não
27|Serviços de assistência social.|2701|Serviços de assistência social.|0,05|0,00%|Não
28|Serviços de avaliação de bens e serviços de qualquer natureza.|2801|Serviços de avaliação de bens e serviços de qualquer natureza.|0,05|0,00%|Não
29|Serviços de biblioteconomia.|2901|Serviços de biblioteconomia.|0,05|0,00%|Não
30|Serviços de biologia, biotecnologia e química.|3001|Serviços de biologia, biotecnologia e química.|0,05|0,00%|Não
31|Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres.|3101|Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres.|0,05|0,00%|Não
32|Serviços de desenhos técnicos.|3201|Serviços de desenhos técnicos.|0,05|0,00%|Não
33|Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres.|3301|Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres.|0,05|0,00%|Não
34|Serviços de investigações particulares, detetives e congêneres.|3401|Serviços de investigações particulares, detetives e congêneres.|0,05|0,00%|Não
35|Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas.|3501|Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas.|0,05|0,00%|Não
36|Serviços de meteorologia.|3601|Serviços de meteorologia.|0,05|0,00%|Não
37|Serviços de artistas, atletas, modelos e manequins.|3701|Serviços de artistas, atletas, modelos e manequins.|0,05|0,00%|Não
38|Serviços de museologia.|3801|Serviços de museologia.|0,05|0,00%|Não
39|Serviços de ourivesaria e lapidação.|3901|Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço).|0,05|0,00%|Não
40|Serviços relativos a obras de arte sob encomenda.|4001|Obras de arte sob encomenda.|0,05|0,00%|Não
99|Benefícios Fiscais de ISS|9901|Serviços contidos no subitem 17.02 prestados por pessoa jurídica na forma de Atividades de Teleatendimento – (82.20-1- 00)|0,02|0,00%|Não
99|Benefícios Fiscais de ISS|9902|Serviços prestados por pessoas jurídicas constituídas sob a forma de cooperativa.|0,02|0,00%|Não
